CODIGO_MESA;CANDIDATURA;ID_PAIS;PAIS;ID_DEPARTAMENTO;DEPARTAMENTO;CIRCUNSCRIPCION_ESPECIAL;ID_PROVINCIA;PROVINCIA;SECCION;MUNICIPIO;ID_LOCALIDAD;LOCALIDAD;ID_RECINTO;RECINTO;NUMERO_MESA;INSCRITOS_HABILITADOS;CREEMOS;ADN;MAS_IPSP;FPV;PAN_BOL;LIBRE_21;CC;JUNTOS;APG;CPEM_B;CIDOB;BIA_YUQUI;CONAMAQ;OICH;ORCAWETA;YAMINAWA;VOTO_VALIDO;VOTO_BLANCO;VOTO_NULO;VOTO_EMITIDO;VOTO_VALIDO_SISTEMA;VOTO_EMITIDO_SISTEMA
27191;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;7;Mapiri;3453;Charopampa                              ;1;U. E. 1ro de Mayo  de Charopampa;3;220;1;0;80;2;0;0;8;0;0;0;0;0;0;0;0;0;91;90;4;185;91;185
27192;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;7;Mapiri;3453;Charopampa                              ;1;U. E. 1ro de Mayo  de Charopampa;4;76;0;0;37;1;1;0;5;0;0;0;0;0;0;0;0;0;44;21;3;68;44;68
27208;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;8;Teoponte;285;Tomachi                                 ;2512;Esc. Mixta Tomachi;1;220;0;0;21;0;3;0;10;0;0;0;0;0;0;0;0;0;34;21;11;66;34;66
27209;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;6;Larecaja                                ;8;Teoponte;285;Tomachi                                 ;2512;Esc. Mixta Tomachi;2;172;0;0;19;0;0;0;12;0;0;0;0;0;0;0;0;0;31;24;7;62;31;62
27214;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;1;220;1;0;16;0;2;0;2;0;0;0;0;0;0;0;0;0;21;32;4;57;21;57
27215;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;2;220;0;0;16;0;0;0;2;0;0;0;0;0;0;0;0;0;18;11;0;29;18;29
27216;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;3;220;0;0;11;0;0;0;4;0;0;0;0;0;0;0;0;0;15;12;0;27;15;27
27217;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;4;220;0;0;22;2;0;0;5;0;0;0;0;0;0;0;0;0;29;9;12;50;29;50
27218;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;5;220;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;0;23;20;0;43;23;43
27219;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;6;220;0;0;11;1;0;0;6;0;0;0;0;0;0;0;0;0;18;13;0;31;18;31
27220;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;7;220;0;0;15;2;1;0;3;0;0;0;0;0;0;0;0;0;21;9;0;30;21;30
27221;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;8;220;0;0;11;0;0;0;12;0;0;0;0;0;0;0;0;0;23;15;1;39;23;39
27222;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;9;220;0;0;12;0;1;0;4;0;0;0;0;0;0;0;0;0;17;13;2;32;17;32
27223;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;10;220;0;0;17;0;0;0;2;0;0;0;0;0;0;0;0;0;19;5;6;30;19;30
27224;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;11;220;0;0;12;0;0;0;2;0;0;0;0;0;0;0;0;0;14;7;1;22;14;22
27225;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;12;220;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;9;6;0;15;9;15
27226;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;13;220;0;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;11;7;0;18;11;18
27227;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;14;220;1;0;14;0;0;0;4;0;0;0;0;0;0;0;0;0;19;20;2;41;19;41
27228;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;15;220;1;0;14;1;0;0;5;0;0;0;0;0;0;0;0;0;21;19;2;42;21;42
27229;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;16;220;0;0;6;0;0;0;5;0;0;0;0;0;0;0;0;0;11;7;0;18;11;18
27230;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;17;220;0;0;15;1;0;0;5;0;0;0;0;0;0;0;0;0;21;15;2;38;21;38
27231;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;18;220;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;7;3;7
27232;DIPUTADO CIRCUNSCRIPCIÓN ESPECIAL;32;Bolivia;2;La Paz;1;7;Franz Tamayo                            ;1;Apolo;308;Apolo                                   ;2523;U. E. Nazario Pardo Valle;19;220;0;0;25;0;1;0;4;0;0;0;0;0;0;0;0;0;30;9;2;41;30;41
